epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
69,16714.9,1.65108,0.95788,1.0825,3.98576,0.87323,0.72678,0.80584,0.46397,1.65706,0.99736,1.52315,0,0.0005512,0.0005512,0.0005512
70,16936.2,1.65796,0.94796,1.08057,3.96213,0.86255,0.72799,0.79262,0.44087,1.67014,1.11222,1.46862,0,0.0005446,0.0005446,0.0005446
71,17207.7,1.61752,0.95062,1.0761,3.88375,0.85764,0.72263,0.79102,0.4129,1.77247,1.13254,1.55713,0,0.000538,0.000538,0.000538
72,17466.7,1.66242,0.94713,1.08548,3.86357,0.88172,0.73014,0.81425,0.46655,1.59683,0.95437,1.43856,0,0.0005314,0.0005314,0.0005314
73,17688.9,1.61108,0.90633,1.05758,3.70357,0.87595,0.73316,0.80969,0.46707,1.59012,1.00814,1.43534,0,0.0005248,0.0005248,0.0005248
74,17934.7,1.62886,0.89774,1.06836,3.69265,0.88923,0.74647,0.82483,0.48359,1.58179,0.97435,1.4293,0,0.0005182,0.0005182,0.0005182
75,18202.2,1.6419,0.92122,1.07077,3.73545,0.84913,0.74242,0.80238,0.45006,1.6647,1.05053,1.50477,0,0.0005116,0.0005116,0.0005116
76,18434.9,1.57593,0.95627,1.11422,3.80083,0.84947,0.71033,0.77966,0.42686,1.70096,1.13558,1.52651,0,0.000505,0.000505,0.000505
77,18726.3,1.61089,0.89511,1.04652,3.66045,0.8695,0.72902,0.80302,0.45802,1.59252,0.99382,1.4438,0,0.0004984,0.0004984,0.0004984
78,18971.1,1.63638,0.88067,1.04167,3.65904,0.87623,0.74232,0.81248,0.47046,1.58256,0.99586,1.43055,0,0.0004918,0.0004918,0.0004918
79,19203.9,1.62388,0.86724,1.04481,3.59693,0.82687,0.72985,0.78676,0.45945,1.59373,1.01619,1.4579,0,0.0004852,0.0004852,0.0004852
80,19440.5,1.63081,0.90212,1.05671,3.62389,0.85597,0.73337,0.7983,0.44877,1.66003,0.94295,1.47025,0,0.0004786,0.0004786,0.0004786
81,19831.1,1.61546,0.88366,1.05189,3.53606,0.87105,0.72437,0.79837,0.42189,1.72596,1.0378,1.5193,0,0.000472,0.000472,0.000472
82,20102.6,1.62065,0.90186,1.07733,3.65722,0.86556,0.74367,0.80734,0.46086,1.63106,0.96619,1.46364,0,0.0004654,0.0004654,0.0004654
83,20362.6,1.62359,0.91995,1.07717,3.66279,0.87094,0.75418,0.81231,0.47282,1.56653,0.97593,1.40915,0,0.0004588,0.0004588,0.0004588
84,20577.9,1.59591,0.9021,1.0695,3.64973,0.86607,0.71192,0.78622,0.44017,1.63267,1.07072,1.45708,0,0.0004522,0.0004522,0.0004522
85,20908.6,1.59985,0.87279,1.06587,3.56254,0.86715,0.74619,0.814,0.47021,1.59863,0.94226,1.45842,0,0.0004456,0.0004456,0.0004456
86,21162.6,1.6086,0.87046,1.04617,3.46348,0.87705,0.74943,0.81787,0.48966,1.56026,1.00081,1.45625,0,0.000439,0.000439,0.000439
87,21438.2,1.61204,0.89385,1.06757,3.46482,0.87582,0.74429,0.81158,0.47561,1.60191,0.9506,1.4524,0,0.0004324,0.0004324,0.0004324
88,21642.6,1.59392,0.87389,1.05574,3.47286,0.85213,0.73462,0.8024,0.45323,1.66762,1.01261,1.50012,0,0.0004258,0.0004258,0.0004258
89,21920.1,1.56337,0.84415,1.0453,3.42419,0.87746,0.74294,0.81354,0.47096,1.57808,0.95972,1.43814,0,0.0004192,0.0004192,0.0004192
90,22198.1,1.63091,0.88301,1.04305,3.37398,0.87766,0.7379,0.80781,0.4742,1.59176,0.97719,1.46134,0,0.0004126,0.0004126,0.0004126
91,22542.4,1.62741,0.88861,1.05496,3.44716,0.8689,0.74593,0.8091,0.47341,1.55488,0.97491,1.4321,0,0.000406,0.000406,0.000406
92,22797.6,1.59441,0.86656,1.05519,3.36732,0.87188,0.74818,0.80884,0.47606,1.56108,0.96523,1.44601,0,0.0003994,0.0003994,0.0003994
93,23031.9,1.57918,0.84323,1.03788,3.3672,0.88766,0.75358,0.82426,0.46794,1.62027,0.93497,1.46308,0,0.0003928,0.0003928,0.0003928
94,23256.3,1.57209,0.88442,1.05804,3.36169,0.85263,0.72862,0.78865,0.42874,1.66636,1.02041,1.47891,0,0.0003862,0.0003862,0.0003862
95,23475.8,1.63151,0.87492,1.06481,3.36604,0.89357,0.74368,0.81984,0.47424,1.56744,0.93559,1.43576,0,0.0003796,0.0003796,0.0003796
96,23776.2,1.57444,0.86813,1.06113,3.35089,0.87618,0.7286,0.80631,0.44663,1.67325,1.00378,1.50929,0,0.000373,0.000373,0.000373
