epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
100,24700.9,1.45647,0.72094,0.00444,1.50035,0.88461,0.7616,0.82669,0.46335,1.69359,0.94536,0.01659,0,0.0003466,0.0003466,0.0003466
101,24986,1.47558,0.72721,0.00464,1.45535,0.87695,0.74709,0.81649,0.4726,1.58539,0.92837,0.01502,0,0.00034,0.00034,0.00034
102,25216.2,1.45223,0.70126,0.00446,1.46169,0.86589,0.74787,0.81779,0.45564,1.66386,0.93611,0.01591,0,0.0003334,0.0003334,0.0003334
103,25447.8,1.44937,0.70161,0.00442,1.42892,0.87099,0.74987,0.81834,0.48011,1.56061,0.96145,0.01488,0,0.0003268,0.0003268,0.0003268
104,25669.3,1.41445,0.68596,0.00444,1.45481,0.86997,0.75309,0.82074,0.47292,1.57546,0.94598,0.01509,0,0.0003202,0.0003202,0.0003202
105,25908.4,1.43081,0.69391,0.00444,1.42741,0.85439,0.75288,0.81323,0.47366,1.56748,0.9178,0.01467,0,0.0003136,0.0003136,0.0003136
106,26132.7,1.43816,0.70591,0.00447,1.44118,0.89729,0.76105,0.83328,0.46954,1.63705,0.95112,0.01538,0,0.000307,0.000307,0.000307
107,26357.1,1.45633,0.73699,0.00484,1.45221,0.89073,0.75755,0.82594,0.47153,1.56905,0.91406,0.01467,0,0.0003004,0.0003004,0.0003004
108,26586.3,1.4311,0.69305,0.0044,1.418,0.88273,0.76961,0.83121,0.49023,1.52811,0.92499,0.01435,0,0.0002938,0.0002938,0.0002938
109,26801.7,1.42507,0.68418,0.00457,1.40659,0.89824,0.76211,0.83614,0.49642,1.53419,0.91444,0.01452,0,0.0002872,0.0002872,0.0002872
110,27024.8,1.43969,0.68854,0.00464,1.42192,0.87007,0.75075,0.8068,0.47746,1.53275,0.92444,0.01419,0,0.0002806,0.0002806,0.0002806
111,27293.7,1.44517,0.70079,0.00419,1.40769,0.89657,0.76525,0.83531,0.49226,1.5286,0.91072,0.01437,0,0.000274,0.000274,0.000274
112,27560.7,1.45113,0.69036,0.00437,1.40878,0.87322,0.74967,0.81442,0.47161,1.59073,0.94291,0.01493,0,0.0002674,0.0002674,0.0002674
113,27822.7,1.44884,0.70206,0.00447,1.40923,0.86912,0.74531,0.81331,0.47253,1.60343,0.91589,0.01553,0,0.0002608,0.0002608,0.0002608
114,28038.4,1.46928,0.73836,0.00494,1.43111,0.87237,0.75731,0.82181,0.48506,1.54743,0.9447,0.01467,0,0.0002542,0.0002542,0.0002542
115,28280.2,1.43347,0.70084,0.00457,1.38717,0.86874,0.75172,0.81887,0.4779,1.57783,0.9473,0.0149,0,0.0002476,0.0002476,0.0002476
116,28514.4,1.45201,0.70028,0.00428,1.3854,0.87582,0.77294,0.83222,0.48426,1.55148,0.9511,0.01469,0,0.000241,0.000241,0.000241
117,28770.2,1.428,0.70032,0.00457,1.36749,0.89242,0.77492,0.83526,0.49016,1.54719,0.93376,0.01468,0,0.0002344,0.0002344,0.0002344
118,29024.7,1.41935,0.67995,0.00423,1.3423,0.88988,0.76971,0.83212,0.48798,1.56289,0.93091,0.01497,0,0.0002278,0.0002278,0.0002278
119,29286.8,1.47795,0.70283,0.00414,1.36006,0.88519,0.77262,0.83584,0.49416,1.52201,0.88112,0.01422,0,0.0002212,0.0002212,0.0002212
120,29520.2,1.3793,0.66761,0.00465,1.36538,0.8743,0.75844,0.82298,0.48469,1.52648,0.9356,0.01418,0,0.0002146,0.0002146,0.0002146
121,29774.9,1.46519,0.70938,0.00411,1.33515,0.89263,0.77665,0.83866,0.50067,1.54659,0.93301,0.01496,0,0.000208,0.000208,0.000208
122,30056.7,1.44634,0.68951,0.00417,1.36676,0.86015,0.75614,0.81911,0.47562,1.58068,0.95228,0.01499,0,0.0002014,0.0002014,0.0002014
123,30265.9,1.40268,0.68027,0.00442,1.33892,0.89371,0.77587,0.833,0.50367,1.51815,0.9069,0.0145,0,0.0001948,0.0001948,0.0001948
124,30512.4,1.44883,0.70812,0.00472,1.36863,0.88904,0.75615,0.82639,0.48156,1.59001,0.94868,0.01523,0,0.0001882,0.0001882,0.0001882
125,30776.8,1.41245,0.67521,0.00414,1.32682,0.87158,0.76525,0.8245,0.48427,1.54487,0.9579,0.01457,0,0.0001816,0.0001816,0.0001816
126,30957.9,1.40205,0.67941,0.00433,1.32647,0.87695,0.76221,0.82961,0.49144,1.53565,0.9191,0.0145,0,0.000175,0.000175,0.000175
127,31234.9,1.44438,0.70786,0.0046,1.3206,0.87521,0.77028,0.83298,0.49509,1.56103,0.93438,0.01523,0,0.0001684,0.0001684,0.0001684
128,31557.4,1.44555,0.69628,0.00463,1.32514,0.87989,0.75709,0.82245,0.48704,1.56506,0.93908,0.01499,0,0.0001618,0.0001618,0.0001618
129,31789.7,1.41841,0.67848,0.00445,1.30291,0.8822,0.75643,0.82246,0.48011,1.59113,0.91392,0.01519,0,0.0001552,0.0001552,0.0001552
130,32019.5,1.41254,0.69208,0.00455,1.32425,0.89643,0.76529,0.83451,0.49201,1.56199,0.90691,0.01492,0,0.0001486,0.0001486,0.0001486
131,32275.2,1.39476,0.66562,0.00428,1.30976,0.89122,0.77175,0.83422,0.48955,1.55956,0.91793,0.01483,0,0.000142,0.000142,0.000142
132,32499.2,1.4452,0.6798,0.00399,1.28124,0.89355,0.76671,0.83287,0.49243,1.55146,0.94623,0.01471,0,0.0001354,0.0001354,0.0001354
133,32752.4,1.42064,0.69008,0.00438,1.32209,0.89693,0.7759,0.83885,0.49589,1.54382,0.92607,0.01459,0,0.0001288,0.0001288,0.0001288
