epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
71,7564.26,1.26436,0.73589,1.10366,2.48426,0.89437,0.75963,0.81477,0.48026,1.385,0.84414,1.42764,0,0.000538,0.000538,0.000538
72,7665.94,1.26353,0.73409,1.11305,2.42652,0.89836,0.76237,0.8224,0.48451,1.36258,0.81914,1.40942,0,0.0005314,0.0005314,0.0005314
73,7739.56,1.25315,0.70727,1.09133,2.36908,0.89945,0.75577,0.817,0.47216,1.41802,0.8452,1.45324,0,0.0005248,0.0005248,0.0005248
74,7819.65,1.26379,0.70536,1.09617,2.31194,0.90556,0.75916,0.82849,0.49574,1.43992,0.824,1.46299,0,0.0005182,0.0005182,0.0005182
75,7959.67,1.24701,0.70694,1.09262,2.37668,0.8985,0.75211,0.81714,0.49666,1.39977,0.83544,1.44618,0,0.0005116,0.0005116,0.0005116
76,8023.17,1.22224,0.71022,1.1191,2.35547,0.90138,0.75452,0.81341,0.46052,1.49627,0.86334,1.4889,0,0.000505,0.000505,0.000505
77,8149.15,1.22361,0.69006,1.07716,2.30972,0.89996,0.73283,0.8054,0.46276,1.42321,0.85722,1.44746,0,0.0004984,0.0004984,0.0004984
78,8246.05,1.24306,0.68895,1.07356,2.3007,0.89317,0.76296,0.82572,0.48621,1.38469,0.82636,1.42118,0,0.0004918,0.0004918,0.0004918
79,8354.84,1.23284,0.68225,1.0651,2.27998,0.88123,0.75375,0.82089,0.48905,1.44221,0.85362,1.48813,0,0.0004852,0.0004852,0.0004852
80,8430.44,1.24926,0.70535,1.08731,2.31152,0.89885,0.74528,0.81599,0.46918,1.45983,0.85694,1.49277,0,0.0004786,0.0004786,0.0004786
81,8487.37,1.2361,0.6924,1.07825,2.25603,0.9033,0.76608,0.82535,0.5091,1.33304,0.82917,1.3769,0,0.000472,0.000472,0.000472
82,8616,1.22627,0.69286,1.09816,2.30033,0.89657,0.76045,0.81384,0.47964,1.38385,0.84865,1.41321,0,0.0004654,0.0004654,0.0004654
